2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-21_01:26:43 used_mb=13254 total_mb=32768
2026-05-21_01:27:13 used_mb=13254 total_mb=32768
2026-05-21_01:27:44 used_mb=13254 total_mb=32768
2026-05-21_01:28:14 used_mb=13254 total_mb=32768
2026-05-21_01:28:44 used_mb=13254 total_mb=32768
2026-05-21_01:29:14 used_mb=13254 total_mb=32768
2026-05-21_01:29:44 used_mb=13254 total_mb=32768
2026-05-21_01:30:14 used_mb=13254 total_mb=32768
2026-05-21_01:30:44 used_mb=13254 total_mb=32768
2026-05-21_01:31:14 used_mb=13254 total_mb=32768
2026-05-21_01:31:44 used_mb=13254 total_mb=32768
2026-05-21_01:32:14 used_mb=13254 total_mb=32768
2026-05-21_01:32:44 used_mb=13254 total_mb=32768
2026-05-21_01:33:14 used_mb=13254 total_mb=32768
2026-05-21_01:33:44 used_mb=13254 total_mb=32768
2026-05-21_01:34:15 used_mb=13254 total_mb=32768
2026-05-21_01:34:45 used_mb=13254 total_mb=32768
2026-05-21_01:35:15 used_mb=13254 total_mb=32768
2026-05-21_01:35:45 used_mb=13254 total_mb=32768
2026-05-21_01:36:15 used_mb=13254 total_mb=32768
2026-05-21_01:36:45 used_mb=13254 total_mb=32768
2026-05-21_01:37:15 used_mb=13254 total_mb=32768
2026-05-21_01:37:45 used_mb=13254 total_mb=32768
2026-05-21_01:38:15 used_mb=13254 total_mb=32768
2026-05-21_01:38:45 used_mb=13254 total_mb=32768
2026-05-21_01:39:15 used_mb=13254 total_mb=32768
2026-05-21_01:39:45 used_mb=13254 total_mb=32768
2026-05-21_01:40:15 used_mb=13254 total_mb=32768
2026-05-21_01:40:46 used_mb=13254 total_mb=32768
2026-05-21_01:41:16 used_mb=13254 total_mb=32768
2026-05-21_01:41:46 used_mb=13254 total_mb=32768
2026-05-21_01:42:16 used_mb=13254 total_mb=32768
2026-05-21_01:42:46 used_mb=13254 total_mb=32768
2026-05-21_01:43:16 used_mb=13254 total_mb=32768
2026-05-21_01:43:46 used_mb=13254 total_mb=32768
2026-05-21_01:44:16 used_mb=13254 total_mb=32768
2026-05-21_01:44:46 used_mb=13254 total_mb=32768
2026-05-21_01:45:16 used_mb=13254 total_mb=32768
2026-05-21_01:45:46 used_mb=13254 total_mb=32768
2026-05-21_01:46:16 used_mb=13254 total_mb=32768
2026-05-21_01:46:46 used_mb=13254 total_mb=32768
2026-05-21_01:47:17 used_mb=13254 total_mb=32768
2026-05-21_01:47:47 used_mb=13254 total_mb=32768
2026-05-21_01:48:17 used_mb=13254 total_mb=32768
2026-05-21_01:48:47 used_mb=13254 total_mb=32768
2026-05-21_01:49:17 used_mb=13254 total_mb=32768
2026-05-21_01:49:47 used_mb=13254 total_mb=32768
2026-05-21_01:50:17 used_mb=13254 total_mb=32768
2026-05-21_01:50:47 used_mb=13254 total_mb=32768
2026-05-21_01:51:17 used_mb=13254 total_mb=32768
2026-05-21_01:51:47 used_mb=13254 total_mb=32768
2026-05-21_01:52:17 used_mb=13254 total_mb=32768
2026-05-21_01:52:47 used_mb=13254 total_mb=32768
2026-05-21_01:53:17 used_mb=13254 total_mb=32768
2026-05-21_01:53:48 used_mb=13254 total_mb=32768
2026-05-21_01:54:18 used_mb=13254 total_mb=32768
2026-05-21_01:54:48 used_mb=13254 total_mb=32768
2026-05-21_01:55:18 used_mb=13254 total_mb=32768
2026-05-21_01:55:48 used_mb=13254 total_mb=32768
2026-05-21_01:56:18 used_mb=13254 total_mb=32768
2026-05-21_01:56:48 used_mb=13254 total_mb=32768
2026-05-21_01:57:18 used_mb=13254 total_mb=32768
2026-05-21_01:57:48 used_mb=13254 total_mb=32768
2026-05-21_01:58:18 used_mb=13254 total_mb=32768
2026-05-21_01:58:48 used_mb=13254 total_mb=32768
2026-05-21_01:59:18 used_mb=13254 total_mb=32768
2026-05-21_01:59:48 used_mb=13254 total_mb=32768
2026-05-21_02:00:19 used_mb=13254 total_mb=32768
2026-05-21_02:00:49 used_mb=13254 total_mb=32768
